Табельный номер,Фамилия,Пол,Год рождения,Год начала работы в компании,Подразделение,Должность,Оклад,Кол-во выполненных проектов
443,Беброва,Женский,1971,2016,3,IT-поддержка,33200,42
444,Писюк,Мужской,1986,2013,1,Админ сервера,43400,94
445,Гоблинова,Женский,1988,2018,5,Начальник бани,22300,23
446,Гоблинова,Женский,1975,2014,3,Начальник бани,37600,56
447,Бебров,Мужской,1979,2018,4,IT-поддержка,23400,4
448,Беброва,Женский,1983,2018,2,IT-поддержка,24100,11
449,Писюкова,Женский,1972,2021,4,Захвоз,20400,4
450,Писюкова,Женский,1976,1997,5,IT-поддержка,41000,100
451,Терентьева,Женский,1977,2002,1,Админ сервера,42500,95
452,Терентьев,Мужской,1984,2011,5,Охраник,36200,42
453,Гоблинов,Мужской,1982,2020,2,Начальник бани,23400,4
454,Бебров,Мужской,1982,2012,4,Админ сервера,40700,77
455,Бебров,Мужской,1972,2019,1,Захвоз,23100,1
456,Иванов,Мужской,1974,2021,4,IT-поддержка,22300,13
457,Гоблинова,Женский,1988,2016,1,Захвоз,33000,70
458,Гоблинов,Мужской,1986,2014,4,Охраник,35400,34
459,Бебров,Мужской,1974,2011,5,Начальник бани,39700,57
460,Писюкова,Женский,1987,2013,2,Начальник бани,41600,76
461,Терентьева,Женский,1984,2020,3,Захвоз,26100,21
462,Писюк,Мужской,1974,2003,1,Начальник бани,37700,57
463,Иванова,Женский,1971,2012,2,Админ сервера,35900,49
464,Беброва,Женский,1987,2021,4,IT-поддержка,24900,29
465,Гоблинова,Женский,1982,2012,4,Охраник,38300,83
466,Гоблинов,Мужской,1977,2007,1,Захвоз,37500,35
467,Терентьева,Женский,1978,2022,5,Захвоз,24000,20
468,Гоблинова,Женский,1970,1997,5,Админ сервера,36500,55
469,Писюкова,Женский,1979,2022,3,Начальник бани,24200,12
470,Писюкова,Женский,1984,2020,1,Захвоз,25700,27
471,Терентьев,Мужской,1975,2014,1,Начальник бани,42600,96
472,Терентьева,Женский,1985,2015,4,Начальник бани,42600,67
473,Иванов,Мужской,1979,2009,3,Захвоз,35700,57
474,Гоблинова,Женский,1981,2012,1,Админ сервера,38900,59
475,Бебров,Мужской,1987,2022,5,Админ сервера,24700,7
476,Гоблинов,Мужской,1980,2016,5,Захвоз,33500,75
477,Иванова,Женский,1974,1998,5,Захвоз,35800,48
478,Терентьева,Женский,1974,2005,5,Админ сервера,37100,41
479,Писюкова,Женский,1976,2012,1,Захвоз,34800,48
480,Иванов,Мужской,1984,2008,5,IT-поддержка,34500,45
481,Гоблинова,Женский,1986,2014,2,Начальник бани,34800,38
482,Гоблинова,Женский,1973,1994,1,Охраник,37000,60
483,Гоблинова,Женский,1971,2017,4,Начальник бани,32000,60
484,Писюкова,Женский,1985,2022,1,Админ сервера,26000,20
485,Беброва,Женский,1971,2016,2,Охраник,37900,99
486,Иванов,Мужской,1988,2021,5,Охраник,20800,8
487,Терентьев,Мужской,1978,2020,5,Захвоз,22500,25
488,Гоблинова,Женский,1989,2022,1,Охраник,22300,13
489,Иванова,Женский,1973,2020,3,IT-поддержка,23500,15
490,Гоблинов,Мужской,1982,2000,1,Админ сервера,39300,93
491,Писюк,Мужской,1989,2021,4,Начальник бани,25000,30
492,Беброва,Женский,1984,2018,4,IT-поддержка,24500,5
493,Беброва,Женский,1981,2008,1,IT-поддержка,36900,59
494,Писюкова,Женский,1982,2016,2,Админ сервера,34700,87
495,Беброва,Женский,1985,2013,1,Охраник,33600,36
496,Терентьева,Женский,1972,2003,1,Начальник бани,38100,41
497,Писюкова,Женский,1989,2022,2,IT-поддержка,23600,16
498,Писюкова,Женский,1970,2010,2,Начальник бани,40900,69
499,Терентьев,Мужской,1981,2017,3,Захвоз,33900,69
500,Писюк,Мужской,1976,2006,4,IT-поддержка,39100,61
501,Гоблинов,Мужской,1985,2021,3,Охраник,24000,30
502,Беброва,Женский,1977,2022,1,IT-поддержка,23300,3
503,Писюк,Мужской,1986,2016,2,IT-поддержка,29100,41
504,Бебров,Мужской,1974,2002,5,Охраник,35000,40
505,Иванова,Женский,1973,2018,5,Начальник бани,25100,21
506,Терентьева,Женский,1982,2015,3,Начальник бани,25100,74
507,Писюк,Мужской,1986,2009,3,IT-поддержка,36700,57
508,Иванов,Мужской,1977,2022,1,Захвоз,22500,25
509,Иванова,Женский,1972,2014,4,Начальник бани,38100,81
510,Беброва,Женский,1977,2002,3,Админ сервера,37700,37
511,Иванов,Мужской,1976,2017,2,Охраник,30700,37
512,Терентьев,Мужской,1983,2019,3,Захвоз,23900,9
513,Гоблинов,Мужской,1989,2020,4,Охраник,23800,18
514,Гоблинова,Женский,1977,2017,1,IT-поддержка,30800,18
515,Писюк,Мужской,1978,2019,5,Охраник,24800,8
516,Беброва,Женский,1973,2012,3,Начальник бани,38900,69
517,Беброва,Женский,1986,2013,2,Админ сервера,43800,98
518,Терентьев,Мужской,1982,2009,2,Начальник бани,42600,96
519,Гоблинов,Мужской,1980,2013,1,Охраник,39400,74
520,Беброва,Женский,1975,2001,1,Начальник бани,39200,82
521,Иванов,Мужской,1981,2017,5,Охраник,35200,82
522,Писюк,Мужской,1985,2021,4,Начальник бани,21000,10
523,Иванов,Мужской,1974,2018,4,Начальник бани,24700,7
524,Писюк,Мужской,1971,2015,4,IT-поддержка,24700,98
525,Беброва,Женский,1978,2003,3,Админ сервера,37700,57
526,Терентьева,Женский,1982,2016,2,Админ сервера,34900,59
527,Гоблинова,Женский,1981,2010,5,IT-поддержка,36100,31
528,Писюк,Мужской,1977,1998,5,IT-поддержка,38100,81
529,Терентьев,Мужской,1982,2017,1,IT-поддержка,37100,81
530,Бебров,Мужской,1974,2016,4,Захвоз,31000,40
531,Иванова,Женский,1976,2014,3,Охраник,39300,93
532,Писюк,Мужской,1971,2003,5,Начальник бани,38600,46
533,Гоблинов,Мужской,1972,1999,3,Захвоз,39800,68
534,Писюк,Мужской,1970,2018,3,IT-поддержка,21900,9
535,Бебров,Мужской,1977,2017,5,IT-поддержка,25900,9
536,Гоблинова,Женский,1977,2015,3,Захвоз,25900,60
537,Иванова,Женский,1983,2013,4,Охраник,41100,91
538,Писюкова,Женский,1985,2010,4,Захвоз,37100,51
539,Бебров,Мужской,1982,2010,1,Админ сервера,40800,68
540,Иванов,Мужской,1974,1994,2,Админ сервера,36400,44
541,Беброва,Женский,1990,2022,1,IT-поддержка,22300,3
542,Гоблинова,Женский,1980,2016,1,Начальник бани,35100,81
543,Гоблинова,Женский,1979,2000,1,Захвоз,39500,95
544,Иванова,Женский,1990,2014,2,Захвоз,37200,32
545,Терентьев,Мужской,1983,2019,4,Захвоз,22600,26
546,Терентьева,Женский,1990,2009,5,Начальник бани,35600,36
547,Гоблинова,Женский,1978,2014,4,IT-поддержка,38300,73
548,Писюк,Мужской,1978,2020,2,IT-поддержка,21400,14
549,Терентьев,Мужской,1974,2005,5,IT-поддержка,40300,63
550,Бебров,Мужской,1977,2010,5,Захвоз,40200,92
551,Гоблинова,Женский,1987,2021,1,Начальник бани,22100,11
552,Терентьев,Мужской,1977,2019,3,Админ сервера,23500,25
553,Гоблинов,Мужской,1989,2012,1,Захвоз,38900,59
554,Терентьев,Мужской,1986,2018,3,Захвоз,24900,19
555,Бебров,Мужской,1977,2004,4,Админ сервера,41100,91
556,Терентьева,Женский,1972,2006,5,Админ сервера,42700,87
557,Иванова,Женский,1985,2020,3,Захвоз,24000,30
558,Иванова,Женский,1990,2021,4,Начальник бани,23300,23
559,Бебров,Мужской,1982,2011,5,Админ сервера,42700,87
560,Писюк,Мужской,1988,2020,1,Охраник,22600,26
561,Беброва,Женский,1987,2022,5,Начальник бани,22800,28
562,Бебров,Мужской,1979,2016,4,Захвоз,29100,31
563,Беброва,Женский,1975,2000,2,IT-поддержка,34300,33
564,Терентьева,Женский,1971,2002,4,IT-поддержка,40600,66
565,Терентьева,Женский,1973,2012,2,Охраник,40500,95
566,Иванова,Женский,1985,2017,3,IT-поддержка,36500,95
567,Терентьева,Женский,1977,2014,4,Захвоз,39500,55
568,Иванова,Женский,1976,2008,2,IT-поддержка,35800,38
569,Терентьева,Женский,1985,2018,4,Захвоз,21500,15
570,Гоблинов,Мужской,1976,2013,3,Охраник,38200,82
571,Бебров,Мужской,1979,2009,2,Начальник бани,37000,30
572,Писюкова,Женский,1970,2011,2,Начальник бани,37100,61
573,Беброва,Женский,1978,2022,3,IT-поддержка,24900,29
574,Гоблинов,Мужской,1978,2002,1,Захвоз,35800,58
575,Терентьева,Женский,1974,2007,2,Админ сервера,41300,93
576,Бебров,Мужской,1989,2017,5,Начальник бани,36300,93
577,Иванова,Женский,1981,2010,5,IT-поддержка,40700,67
578,Терентьева,Женский,1974,2001,5,Админ сервера,41200,92
579,Гоблинов,Мужской,1984,2008,2,Админ сервера,38600,86
580,Иванова,Женский,1972,2020,2,Захвоз,23000,30
581,Гоблинова,Женский,1987,2008,3,Начальник бани,42000,100
582,Гоблинов,Мужской,1987,2021,5,Начальник бани,23800,28
583,Терентьева,Женский,1987,2013,4,Охраник,41400,94
584,Иванова,Женский,1978,2020,4,IT-поддержка,25900,19
585,Терентьев,Мужской,1981,2010,1,Начальник бани,35900,59
586,Гоблинов,Мужской,1986,2020,1,IT-поддержка,22400,14
587,Терентьев,Мужской,1989,2020,2,Охраник,24900,29
588,Писюк,Мужской,1980,2007,3,Начальник бани,39900,99
589,Иванова,Женский,1982,2021,2,IT-поддержка,22100,11
590,Писюкова,Женский,1982,2004,1,IT-поддержка,39700,97
591,Бебров,Мужской,1989,2020,4,Охраник,23600,16
592,Писюкова,Женский,1976,1999,1,Охраник,34400,44
593,Иванова,Женский,1970,1997,4,Охраник,33700,37
594,Писюкова,Женский,1982,2008,3,IT-поддержка,42100,91
595,Гоблинова,Женский,1972,2004,3,Охраник,34200,32
596,Терентьева,Женский,1978,2017,3,Захвоз,28200,32
597,Терентьев,Мужской,1986,2018,4,Охраник,24400,14
598,Терентьева,Женский,1981,2011,2,Начальник бани,33600,36
599,Терентьев,Мужской,1976,2008,3,Начальник бани,36300,53
600,Иванов,Мужской,1988,2020,3,Начальник бани,25400,24
601,Беброва,Женский,1978,2012,2,Начальник бани,39000,90
602,Гоблинова,Женский,1986,2020,3,Захвоз,22600,6
603,Иванова,Женский,1981,2014,5,Захвоз,38700,67
604,Терентьев,Мужской,1972,2020,5,IT-поддержка,21500,15
605,Терентьев,Мужской,1974,2014,1,Захвоз,42800,98
606,Беброва,Женский,1980,2008,4,Админ сервера,39900,59
607,Беброва,Женский,1979,2002,1,Захвоз,37900,69
608,Терентьев,Мужской,1979,2020,4,Админ сервера,23200,2
609,Гоблинова,Женский,1977,2006,1,Админ сервера,39400,84
610,Беброва,Женский,1971,2005,3,Захвоз,36500,45
611,Писюкова,Женский,1975,2002,1,Захвоз,36400,34
612,Гоблинова,Женский,1979,2004,4,Охраник,37800,68
613,Иванова,Женский,1981,2013,2,Начальник бани,36200,62
614,Терентьева,Женский,1984,2016,3,IT-поддержка,33400,74
615,Писюкова,Женский,1981,2019,2,Начальник бани,24800,28
616,Писюкова,Женский,1988,2019,3,IT-поддержка,23300,23
617,Иванов,Мужской,1980,2014,3,Админ сервера,39000,80
618,Писюкова,Женский,1977,2004,3,Начальник бани,37500,35
619,Писюкова,Женский,1990,2022,4,Захвоз,25500,25
620,Гоблинова,Женский,1989,2013,1,Захвоз,36800,38
621,Иванов,Мужской,1975,1993,2,IT-поддержка,41100,91
622,Иванова,Женский,1976,2014,3,IT-поддержка,37300,73
623,Терентьев,Мужской,1978,2012,2,Админ сервера,39600,96
624,Гоблинов,Мужской,1971,2001,4,Админ сервера,34800,38
625,Бебров,Мужской,1981,2019,1,IT-поддержка,24100,1
626,Бебров,Мужской,1976,2015,2,Захвоз,24100,63
627,Гоблинов,Мужской,1978,2010,1,Охраник,36900,39
628,Беброва,Женский,1978,2014,4,Охраник,36300,53
629,Писюкова,Женский,1973,2021,1,Админ сервера,25900,29
630,Беброва,Женский,1975,2017,3,Захвоз,29900,29
631,Терентьев,Мужской,1989,2019,3,IT-поддержка,22900,29
632,Писюк,Мужской,1974,1999,4,Админ сервера,41100,91
633,Писюкова,Женский,1977,2000,2,IT-поддержка,41000,90
634,Беброва,Женский,1986,2022,4,Админ сервера,26500,25
635,Гоблинова,Женский,1970,1991,2,Захвоз,41000,70
636,Иванова,Женский,1979,2011,5,Начальник бани,40800,68
637,Гоблинова,Женский,1987,2017,5,IT-поддержка,35800,68
638,Терентьев,Мужской,1973,2014,3,IT-поддержка,35200,42
639,Гоблинов,Мужской,1979,2022,3,Захвоз,23100,1
640,Гоблинов,Мужской,1970,2009,3,Захвоз,38800,58
641,Терентьева,Женский,1979,2010,4,Охраник,38400,44
642,Гоблинова,Женский,1986,2022,3,Админ сервера,22200,2
643,Бебров,Мужской,1981,2019,1,Админ сервера,22600,16
644,Терентьева,Женский,1976,2000,3,Админ сервера,38100,41
645,Иванов,Мужской,1973,2021,2,Начальник бани,24200,12
646,Бебров,Мужской,1988,2019,2,Админ сервера,21700,17
647,Терентьева,Женский,1989,2015,1,Начальник бани,21700,56
648,Писюкова,Женский,1975,2014,3,IT-поддержка,35200,32
649,Терентьева,Женский,1973,2022,2,Охраник,23000,10
650,Беброва,Женский,1984,2020,1,Начальник бани,21700,17
651,Беброва,Женский,1989,2021,2,IT-поддержка,23000,30
652,Гоблинова,Женский,1981,2015,2,Охраник,23000,56
653,Беброва,Женский,1981,2016,5,IT-поддержка,34300,83
654,Иванова,Женский,1978,2014,1,Охраник,38300,73
655,Писюк,Мужской,1983,2022,4,Захвоз,23200,22
656,Беброва,Женский,1974,2011,2,Захвоз,42700,97
657,Беброва,Женский,1975,2005,3,IT-поддержка,39600,76
658,Терентьев,Мужской,1985,2006,4,IT-поддержка,39800,58
659,Гоблинов,Мужской,1981,2006,2,IT-поддержка,41800,78
660,Писюк,Мужской,1975,2015,2,Начальник бани,41800,52
661,Иванов,Мужской,1982,2017,3,IT-поддержка,33200,52
662,Писюк,Мужской,1989,2019,1,IT-поддержка,24100,1
663,Гоблинова,Женский,1983,2022,1,Захвоз,22200,12
664,Иванов,Мужской,1977,2022,4,Админ сервера,25900,29
665,Писюк,Мужской,1978,2015,4,IT-поддержка,25900,55
666,Бебров,Мужской,1983,2020,2,Админ сервера,27000,30
667,Гоблинов,Мужской,1984,2015,4,IT-поддержка,27000,50
668,Терентьев,Мужской,1987,2014,5,Начальник бани,35900,39
669,Писюк,Мужской,1972,2009,1,Охраник,34900,39
670,Писюкова,Женский,1975,2019,2,IT-поддержка,26700,27
671,Писюкова,Женский,1974,2018,4,Охраник,25000,20
672,Гоблинова,Женский,1988,2021,1,IT-поддержка,22600,16
673,Иванов,Мужской,1987,2020,4,Захвоз,24400,14
674,Беброва,Женский,1982,2016,1,Админ сервера,34300,73
675,Гоблинов,Мужской,1972,1995,5,Админ сервера,38200,62
676,Писюкова,Женский,1982,2008,5,IT-поддержка,42700,87
677,Писюкова,Женский,1982,2022,2,Админ сервера,24100,1
678,Писюк,Мужской,1987,2020,5,Захвоз,25700,27
679,Гоблинов,Мужской,1978,2015,3,Админ сервера,25700,78
680,Терентьев,Мужской,1983,2022,5,Захвоз,20400,4
681,Терентьева,Женский,1970,2020,3,Админ сервера,26200,22
682,Писюк,Мужской,1984,2013,3,IT-поддержка,42100,91
683,Беброва,Женский,1978,2015,4,IT-поддержка,42100,61
684,Терентьева,Женский,1989,2009,5,Захвоз,37900,79
685,Гоблинов,Мужской,1973,2014,1,Начальник бани,39800,98
686,Бебров,Мужской,1976,2010,3,Захвоз,38700,67
687,Иванов,Мужской,1980,2021,2,Админ сервера,21400,14
688,Гоблинова,Женский,1978,2013,2,Захвоз,42200,82
689,Терентьева,Женский,1989,2012,5,Начальник бани,33100,31
690,Иванова,Женский,1990,2022,2,Охраник,24000,20
691,Терентьев,Мужской,1978,2000,2,Начальник бани,38400,54
692,Писюк,Мужской,1989,2020,4,Админ сервера,22100,1
693,Терентьева,Женский,1983,2015,1,IT-поддержка,22100,56
694,Иванов,Мужской,1980,2016,2,IT-поддержка,30400,54
695,Бебров,Мужской,1985,2019,5,Админ сервера,26500,25
696,Беброва,Женский,1979,2019,4,Захвоз,22300,13
697,Писюкова,Женский,1977,2005,2,Админ сервера,39300,83
698,Терентьева,Женский,1976,2012,1,Охраник,36000,60
699,Бебров,Мужской,1975,2013,4,IT-поддержка,36500,55
700,Терентьева,Женский,1974,2011,3,Начальник бани,36500,45
701,Писюкова,Женский,1981,2015,5,IT-поддержка,36500,85
702,Бебров,Мужской,1989,2011,2,Админ сервера,37100,71
703,Беброва,Женский,1981,2015,3,IT-поддержка,37100,78
704,Писюк,Мужской,1987,2018,2,Админ сервера,24400,4
705,Иванова,Женский,1990,2020,4,IT-поддержка,23100,21
706,Бебров,Мужской,1990,2018,3,IT-поддержка,24100,11
707,Беброва,Женский,1978,2008,3,Админ сервера,36700,57
708,Писюк,Мужской,1976,2020,4,IT-поддержка,21300,13
709,Терентьева,Женский,1989,2021,4,Админ сервера,25200,12
710,Писюк,Мужской,1979,2014,5,Начальник бани,37700,37
711,Писюкова,Женский,1986,2014,1,Админ сервера,41300,83
712,Писюкова,Женский,1971,2016,5,IT-поддержка,33700,57
713,Писюкова,Женский,1982,2010,1,IT-поддержка,34600,46
714,Гоблинов,Мужской,1983,2017,3,Админ сервера,31600,46
715,Беброва,Женский,1975,2000,2,Админ сервера,37200,52
716,Терентьева,Женский,1977,2014,3,Начальник бани,39200,52
717,Бебров,Мужской,1970,2005,5,Начальник бани,35700,57
718,Гоблинов,Мужской,1981,2012,1,Админ сервера,37000,40
719,Гоблинов,Мужской,1981,2022,2,Начальник бани,24100,1
720,Иванов,Мужской,1981,2020,2,Охраник,25300,23
721,Иванов,Мужской,1972,2018,2,Захвоз,24200,2
722,Писюк,Мужской,1972,2012,1,Админ сервера,36400,64
723,Терентьева,Женский,1982,2021,3,Админ сервера,25100,11
724,Гоблинова,Женский,1981,2003,5,Охраник,33700,37
725,Иванов,Мужской,1974,2006,5,Начальник бани,42100,81
726,Бебров,Мужской,1984,2016,4,IT-поддержка,31500,35
727,Гоблинов,Мужской,1971,1990,4,Начальник бани,38900,49
728,Иванова,Женский,1973,2008,3,Начальник бани,39400,64
729,Гоблинов,Мужской,1986,2019,1,Начальник бани,23600,26
730,Писюк,Мужской,1990,2020,4,IT-поддержка,24400,24
731,Терентьев,Мужской,1984,2010,4,Захвоз,39800,98
732,Писюк,Мужской,1972,2019,4,Начальник бани,21200,12
733,Писюк,Мужской,1983,2021,2,Охраник,22300,13
734,Иванов,Мужской,1986,2020,4,Админ сервера,20700,7
735,Иванова,Женский,1973,2008,4,Админ сервера,34700,37
736,Бебров,Мужской,1979,2010,5,Захвоз,38000,60
737,Терентьева,Женский,1987,2022,1,IT-поддержка,23300,23
738,Иванов,Мужской,1972,2016,4,Начальник бани,35500,85
739,Писюкова,Женский,1975,2017,3,Начальник бани,36500,85
740,Иванова,Женский,1971,1991,5,Начальник бани,38600,86
741,Беброва,Женский,1988,2019,1,Админ сервера,26000,20
742,Иванов,Мужской,1989,2020,3,IT-поддержка,21400,14
743,Терентьева,Женский,1990,2021,5,Захвоз,24500,5
744,Беброва,Женский,1976,2010,4,Админ сервера,37700,47
745,Гоблинов,Мужской,1989,2022,5,Охраник,24900,19
746,Терентьева,Женский,1980,2017,3,Начальник бани,26900,19
747,Терентьева,Женский,1982,2017,5,Начальник бани,27900,19
748,Терентьев,Мужской,1984,2012,4,Админ сервера,37400,44
749,Терентьева,Женский,1979,2014,4,Админ сервера,40700,97
750,Терентьева,Женский,1978,2001,1,IT-поддержка,35200,42
751,Гоблинов,Мужской,1974,2005,3,Охраник,41800,88
752,Иванова,Женский,1975,2010,1,Охраник,40200,82
753,Гоблинова,Женский,1974,2007,1,Начальник бани,35200,42
754,Иванов,Мужской,1990,2011,2,Админ сервера,34700,47
755,Писюк,Мужской,1970,2007,2,Захвоз,36500,45
756,Бебров,Мужской,1980,2010,2,IT-поддержка,38400,64
757,Бебров,Мужской,1974,2020,1,Охраник,22800,28
758,Иванов,Мужской,1990,2017,4,Начальник бани,28800,28
759,Писюк,Мужской,1971,2008,2,Охраник,37300,43
760,Писюк,Мужской,1984,2007,1,Начальник бани,36700,47
761,Беброва,Женский,1985,2021,1,Админ сервера,22400,4
762,Гоблинов,Мужской,1979,2006,2,IT-поддержка,35100,41
763,Терентьев,Мужской,1982,2020,1,Захвоз,24400,24
764,Писюк,Мужской,1970,2005,3,Админ сервера,39900,99
765,Терентьева,Женский,1983,2015,4,Охраник,39900,44
766,Писюк,Мужской,1981,2017,5,Охраник,31400,44
767,Беброва,Женский,1980,2015,4,Админ сервера,31400,76
768,Иванова,Женский,1978,2007,1,Охраник,42000,90
769,Бебров,Мужской,1981,2012,1,Охраник,37100,61
770,Бебров,Мужской,1970,1993,3,Админ сервера,36100,41
771,Гоблинова,Женский,1978,2017,5,Начальник бани,30100,41
772,Бебров,Мужской,1987,2008,4,Админ сервера,36200,62
773,Бебров,Мужской,1976,2012,3,Начальник бани,40000,70
774,Бебров,Мужской,1975,2013,2,Захвоз,39800,58
775,Беброва,Женский,1977,2020,1,Захвоз,22900,29
776,Терентьев,Мужской,1977,2015,1,Охраник,22900,99
777,Писюк,Мужской,1987,2017,2,Охраник,37900,99
778,Иванов,Мужской,1974,2003,4,Админ сервера,42900,89
779,Терентьев,Мужской,1988,2022,1,Захвоз,26200,22
780,Беброва,Женский,1973,2008,5,Админ сервера,40100,71
781,Терентьев,Мужской,1980,2013,3,Захвоз,39700,87
782,Гоблинов,Мужской,1972,2012,2,Охраник,38200,62
783,Писюк,Мужской,1971,2008,2,Начальник бани,36100,41
784,Иванов,Мужской,1975,2009,1,Админ сервера,36200,32
785,Терентьев,Мужской,1975,2006,3,Начальник бани,37000,40
786,Писюкова,Женский,1989,2021,2,Охраник,21600,16
787,Гоблинов,Мужской,1990,2016,4,Охраник,31000,50
788,Гоблинова,Женский,1985,2013,2,IT-поддержка,39900,79
789,Писюк,Мужской,1988,2014,1,IT-поддержка,37200,52
790,Беброва,Женский,1989,2021,5,Охраник,25300,13
791,Писюкова,Женский,1970,2008,4,Начальник бани,35900,59
792,Беброва,Женский,1989,2022,5,Начальник бани,23400,14
793,Беброва,Женский,1973,2010,2,IT-поддержка,40600,66
794,Терентьева,Женский,1972,2005,4,Начальник бани,41800,78
795,Иванова,Женский,1981,2016,5,Захвоз,33300,73
796,Иванов,Мужской,1985,2019,5,Начальник бани,23800,28
797,Писюк,Мужской,1987,2018,3,Начальник бани,23200,12
798,Беброва,Женский,1973,2015,5,Админ сервера,23200,53
799,Бебров,Мужской,1985,2018,2,Охраник,26900,29
800,Писюкова,Женский,1971,2018,1,Админ сервера,25200,12
801,Гоблинова,Женский,1981,2003,5,Начальник бани,35700,47
802,Иванов,Мужской,1977,2019,2,Админ сервера,24900,29
803,Гоблинова,Женский,1980,2010,3,Начальник бани,37400,54
804,Беброва,Женский,1977,2022,5,Захвоз,23100,11
805,Гоблинова,Женский,1977,2020,3,Охраник,26600,26
806,Гоблинова,Женский,1971,2013,3,Захвоз,40300,93
807,Терентьев,Мужской,1989,2020,1,Админ сервера,24300,13
808,Терентьев,Мужской,1976,2012,3,Захвоз,37600,46
809,Гоблинов,Мужской,1984,2019,2,Захвоз,26100,21
810,Иванова,Женский,1981,2008,3,Начальник бани,39500,65
811,Писюк,Мужской,1984,2018,3,Админ сервера,24900,29
812,Писюк,Мужской,1979,2017,2,Админ сервера,31900,29
813,Гоблинов,Мужской,1979,2017,5,Начальник бани,30900,29
814,Беброва,Женский,1970,1996,5,Админ сервера,41700,77
815,Беброва,Женский,1970,2002,5,IT-поддержка,42300,83
816,Гоблинова,Женский,1987,2014,1,Охраник,38500,65
817,Иванова,Женский,1978,2017,1,Админ сервера,31500,65
818,Беброва,Женский,1986,2005,1,IT-поддержка,38600,56
819,Гоблинова,Женский,1970,2003,3,Админ сервера,33300,33
820,Гоблинов,Мужской,1985,2014,1,Админ сервера,38500,65
821,Терентьева,Женский,1978,2000,4,IT-поддержка,42000,90
822,Беброва,Женский,1986,2021,5,Охраник,24200,12
823,Иванов,Мужской,1987,2008,3,Начальник бани,39400,74
824,Гоблинов,Мужской,1971,2005,4,Захвоз,37200,52
825,Писюкова,Женский,1988,2019,3,Охраник,21500,5
826,Писюкова,Женский,1990,2021,5,Охраник,20600,6
827,Терентьева,Женский,1976,2015,1,Охраник,20600,78
828,Гоблинов,Мужской,1977,2016,3,IT-поддержка,29300,43
829,Писюкова,Женский,1973,2019,2,IT-поддержка,22200,12
830,Иванова,Женский,1978,2014,5,IT-поддержка,42600,86
831,Писюкова,Женский,1979,2014,3,Админ сервера,37100,71
832,Гоблинова,Женский,1978,2015,3,Захвоз,37100,68
833,Беброва,Женский,1972,2004,4,Захвоз,38800,78
834,Писюкова,Женский,1983,2005,1,Захвоз,37900,39
835,Иванова,Женский,1976,2008,4,Админ сервера,36900,59
836,Иванов,Мужской,1989,2020,2,IT-поддержка,22900,9
837,Гоблинов,Мужской,1987,2017,4,Охраник,27900,9
838,Гоблинова,Женский,1970,2004,2,Админ сервера,41900,89
839,Писюкова,Женский,1987,2015,4,Захвоз,41900,81
840,Терентьева,Женский,1990,2010,3,Админ сервера,40500,95
841,Гоблинова,Женский,1971,1992,5,Админ сервера,39300,53
842,Терентьева,Женский,1976,2017,2,Начальник бани,32300,53
843,Терентьева,Женский,1981,2022,1,Захвоз,23900,29
844,Иванова,Женский,1983,2017,2,Админ сервера,29900,29
845,Терентьев,Мужской,1990,2022,1,Охраник,22600,16
846,Иванов,Мужской,1979,2003,4,IT-поддержка,38100,41
847,Терентьева,Женский,1970,2016,3,IT-поддержка,34200,72
848,Гоблинов,Мужской,1970,2002,2,Охраник,39800,88
849,Писюкова,Женский,1985,2006,4,Захвоз,38300,53
850,Иванова,Женский,1988,2020,2,Начальник бани,21500,5
851,Терентьев,Мужской,1980,2009,2,Захвоз,37000,70
852,Бебров,Мужской,1979,2017,1,Начальник бани,35000,70
853,Беброва,Женский,1973,2002,3,IT-поддержка,39000,50
854,Гоблинов,Мужской,1973,2010,5,Охраник,36800,38
855,Иванов,Мужской,1988,2020,5,Охраник,21900,9
856,Бебров,Мужской,1982,2016,4,Охраник,32600,46
857,Бебров,Мужской,1970,2003,4,Захвоз,40000,60
858,Гоблинова,Женский,1989,2019,5,Охраник,24900,29
859,Гоблинова,Женский,1984,2016,3,Начальник бани,34000,90
860,Бебров,Мужской,1985,2020,5,Захвоз,24300,3
861,Терентьева,Женский,1989,2019,2,Начальник бани,20300,3
862,Беброва,Женский,1977,2012,4,IT-поддержка,38000,70
863,Терентьева,Женский,1990,2022,2,Админ сервера,25900,19
864,Гоблинова,Женский,1980,2022,1,Захвоз,21800,18
865,Писюкова,Женский,1972,2012,5,IT-поддержка,37400,34
866,Иванов,Мужской,1974,2017,1,Охраник,28400,34
867,Иванов,Мужской,1977,2021,4,Охраник,25000,10
868,Иванова,Женский,1972,2008,4,Админ сервера,40300,73
869,Иванов,Мужской,1988,2019,3,IT-поддержка,22600,26
870,Писюк,Мужской,1982,2021,3,IT-поддержка,23200,12
871,Иванов,Мужской,1986,2009,5,IT-поддержка,38900,89
872,Иванова,Женский,1975,2022,5,Начальник бани,22200,22
873,Гоблинова,Женский,1973,2017,4,Начальник бани,30200,22
874,Терентьев,Мужской,1980,2016,1,Админ сервера,36000,90
875,Иванов,Мужской,1987,2022,5,Админ сервера,21700,7
876,Иванова,Женский,1990,2019,3,Охраник,22500,5
877,Беброва,Женский,1978,2010,2,Охраник,34300,33
878,Беброва,Женский,1988,2016,5,Админ сервера,34600,96
879,Писюкова,Женский,1976,2016,1,Админ сервера,33400,64
